sentences,class
here is our forecast ,0
test successful.  way to go!!!,0
"greg, how about either next tuesday or thursday?phillip",0
any morning between 10 and 11:30,0
"paula, 35 million is finephillip",0
nymex expiration is during this time frame.  please reschedule.,0
"greg,happy b-day. email me your phone # and i will call you.keith",0
"jeff, what is up with burnet?phillip",0
http://www.hearme.com/vc2/?chnlownr=pallen@enron.com,0
"ina, i scheduled a meeting with jean mrha tomorrow at 3:30",0
resumes of whom?,0
why are his requests coming to me?,0
"lucy, i got your email with the attachment.  let's work together today to get this donephillip",0
"i tried the new address but i don't have access.  also, what do i need to enter under domain?",0
"stephanieplease grant paul the requested eol rightsthanks,phillip",0
i tried to run the model and it did not work,0
what are your skills?  why do you want to be on a trading desk?,0
"hunter,are you watching alberto?  do you have yahoo messenger or hear me turned on?phillip",0
"lucy, i will call you this afternoon to discuss the things in your email.phillip",0
the merlin ct. address is still good.  i don't know why the mailing would be returned.  ,0
here is the 1st draft of a wish list for systems.,0
11:15 today still works.,0
i would look at properties in san antonio or dallas.,0
how about tuesday at 11:15 in front of the building?,0
testing,0
"ina, please sign me up for this course whenever hunter is signed up. thanks",0
"gary, thanks for the info.",0
anytime after 3 p.m.,0
is your voice healed or are you going to use a real time messenger?,0
no,0
http://ectpdx-sunone.ect.enron.com/~theizen/wsccnav/,0
"felix,network: login pallen pw ke7davisnotes: pw synergimy location is 3210b.phillip",0
"dawn,i received your email with p&l's.  please continue to send them daily.thank you,phillip",0
2000-1969=31,0
here is my dsl form.,0
thanks for your help. my assistant is ina rangel.,0
are we going to inspect tomorrow?,0
"mac,we will be there on the 9th and i will bring the paperwork.phillip",0
"mark, thank you for the offer, but i am not doing the ride this year.   good luck.phillip",0
mary i was out of the office on friday.i will call you about wade later todayphilip,0
it works.  thank you,0
"socal positionthis is short, but is it good enough?",0
re: window unit check with gary about what kind he wants to install,0
"steve,please remove bob shiring and liz rivera from rc #768.  thank youphillip allen",0
the file is updated and renamed as gas basis mar 00.  ,0
it is ok to let the deposit rollover on #13 if there is no interruption in rent.,0
"kim, doublecheck with julie g. , but i think it ok to pay jan. demand charges.",0
is this still an issue?,0
here is the file i showed you.,0
vishal resigned today,0
"mary received an email from you on 1/7, but there was no message.  please try again.phillip",0
received the file.  it worked.  good job.,0
what did mary write?  stage misses you?  i sent 2 emails.maybe mary is stalking gary ,0
here is our forecast,0
"jeff,jacques craig will draw up a release.  what is the status on the quote from wade?  phillip",0
i will email you with the insurance info tomorrow.  ,0
"lucy,the spreadsheet looks fine to me. phillip",0
"jeff,jacques craig will draw up a release.  what is the status on the quote from wade?  phillip",0
i still use this service,0
thanks for your help.,0
"jed,thanks for the response.  phillip allen",0
my location is eb3210c,0
https://www4.rsweb.com/61045/,0
no problem,0
keith holst sent you an email with the details.,0
"jeff,i am in the office today.  any isssues to deal with for the stagecoach?phillip",0
i just refaxed. please confirm receipt,0
i faxed you the signed amendment.,0
tomorrow is fine.  talk to you then.phillip,0
"that would we very helpful.  thanks,phillip",0
yes please,0
"george,please send the latest cost estimates when you get a chance this morning.phillip",0
the west desk would like 2 analysts.,0
i would like to have a copy of the appraisal.  see you monday at 2.phillip,0
no.  i am on msn messenger.,0
thanks for the website.  ,0
8500?????  that's twice as valuable as your car!  can't you get a used one for $3000?,0
nice.  how much?are you trying to keep the economy going?,0
"dexter,you should receive a guest id shortly.phillip",0
"lucy,here is a rentroll for this week.  i still have questions on #28,#29, and #32.",0
message board,0
"andrea,please resend the first three resumes.phillip",0
financial  (6)  west desk  (14)mid market (16),0
"larry,do you want the loan and wire amount to be for exactly $1.1 million.phillip",0
thanks for representing matt.phillip,0
it is ok with me.,0
i can't open a winmail.dat file.  can you send in a different format,0
monique sanchezjay reitmeyerrandy gaymatt lenhart,0
fax number 713-646-2391,0
yes. trading reports to whalley.  he is lavorato's boss.,0
yes you can use this chart.  does it make sense?  ,0
how about 3:30,0
"paula, i looked over the plan.  it looks fine.phillip",0
"george, just a note to check in.  are there any new developments?  phillip",0
raincheck?,0
no can do.  are you in the zone?,0
"bob, activate plan b.  no money from john.   wish i had better news.phillip",0
"steve,thank you for the update.  the need is still great for this disk space.  phillip",0
"andy, please assign a user name to randy gay.thank you,phillip",0
"richard, are you available at 5:30 et today?phillip",0
"paula, 35 million is finephillip",0
nymex expiration is during this time frame.  please reschedule.,0
"greg,happy b-day. email me your phone # and i will call you.keith",0
"jeff, what is up with burnet?phillip",0
http://www.hearme.com/vc2/?chnlownr=pallen@enron.com,0
"ina, i scheduled a meeting with jean mrha tomorrow at 3:30",0
resumes of whom?,0
how is your racing going?  what category are you up to? i,0
why are his requests coming to me?,0
"lucy, i got your email with the attachment.  let's work together today to get this donephillip",0
"i tried the new address but i don't have access.  also, what do i need to enter under domain?",0
"stephanieplease grant paul the requested eol rightsthanks,phillip",0
i tried to run the model and it did not work,0
what are your skills?  why do you want to be on a trading desk?,0
"hunter,are you watching alberto?  do you have yahoo messenger or hear me turned on?phillip",0
"lucy, i will call you this afternoon to discuss the things in your email.phillip",0
"jeff, i want to bid $2.8 for sagewood with a rate 8.5% or less and dependent on  30 year term",0
attached is the systems wish list for the gas basis and physical trading,0
the merlin ct. address is still good.  i don't know why the mailing would be returned.  ,0
here is the 1st draft of a wish list for systems.,0
11:15 today still works.,0
how about tuesday at 11:15 in front of the building?,0
testing,0
"ina, please sign me up for this course whenever hunter is signed up. thanks",0
"gary, thanks for the info.",0
anytime after 3 p.m.,0
is your voice healed or are you going to use a real time messenger?,0
no,0
http://ectpdx-sunone.ect.enron.com/~theizen/wsccnav/,0
"felix,network: login pallen pw ke7davisnotes: pw synergimy location is 3210b.phillip",0
"dawn,i received your email with p&l's.  please continue to send them daily.thank you,phillip",0
2000-1969=31,0
here is my dsl form.,0
thanks for your help. my assistant is ina rangel.,0
are we going to inspect tomorrow?,0
"mac,we will be there on the 9th and i will bring the paperwork.phillip",0
"mark, thank you for the offer, but i am not doing the ride this year.   good luck.phillip",0
mary i was out of the office on friday.i will call you about wade later todayphilip,0
"socal positionthis is short, but is it good enough?",0
re: window unit check with gary about what kind he wants to install,0
"steve,please remove bob shiring and liz rivera from rc #768.  thank youphillip allen",0
the file is updated and renamed as gas basis mar 00.  ,0
it is ok to let the deposit rollover on #13 if there is no interruption in rent.,0
"mary, it is ok to buy a carpet shampooer. about the w-2's, how would you ",0
"kim, doublecheck with julie g. , but i think it ok to pay jan. demand charges.",0
is this still an issue?,0
here is the file i showed you.,0
vishal resigned today,0
"mary received an email from you on 1/7, but there was no message.  please try again.phillip",0
received the file.  it worked.  good job.,0
what did mary write?  stage misses you?  i sent 2 emails.maybe mary is stalking gary ,0
here is our forecast,0
"jeff,jacques craig will draw up a release.  what is the status on the quote from wade?  phillip",0
the west desk would like 2 analysts.,0
i would look at properties in san antonio or dallas.,0
it works.  thank you,0
i still use this service,0
"jeff,i am in the office today.  any isssues to deal with for the stagecoach?phillip",0
i will email you with the insurance info tomorrow.  ,0
"lucy,the spreadsheet looks fine to me. phillip",0
thanks for your help.,0
"jed,thanks for the response.  phillip allen",0
my location is eb3210c,0
https://www4.rsweb.com/61045/,0
no problem,0
keith holst sent you an email with the details.,0
i just refaxed. please confirm receipt,0
i faxed you the signed amendment.,0
financial  (6)  west desk  (14)mid market (16),0
tomorrow is fine.  talk to you then.phillip,0
it is ok with me.,0
"that would we very helpful.  thanks,phillip",0
yes please,0
"george,please send the latest cost estimates when you get a chance this morning.phillip",0
i would like to have a copy of the appraisal.  see you monday at 2.phillip,0
no.  i am on msn messenger.,0
thanks for the website.  ,0
8500?????  that's twice as valuable as your car!  can't you get a used one for $3000?,0
nice.  how much?are you trying to keep the economy going?,0
how about 3:30,0
"dexter,you should receive a guest id shortly.phillip",0
"lucy,here is a rentroll for this week.  i still have questions on #28,#29, and #32.",0
message board,0
"paula, i looked over the plan.  it looks fine.phillip",0
"andrea,please resend the first three resumes.phillip",0
"larry,do you want the loan and wire amount to be for exactly $1.1 million.phillip",0
thanks for representing matt.phillip,0
i can't open a winmail.dat file.  can you send in a different format,0
monique sanchezjay reitmeyerrandy gaymatt lenhart,0
fax number 713-646-2391,0
yes. trading reports to whalley.  he is lavorato's boss.,0
yes you can use this chart.  does it make sense?  ,0
 - inv alliance mf survey of smarcos.pdf,0
"george, just a note to check in.  are there any new developments?  phillip",0
"scott, thanks for the email.  i have two questions: 1.  the ",0
raincheck?,0
"bob, activate plan b.  no money from john.   wish i had better news.phillip",0
no can do.  are you in the zone?,0
"steve,thank you for the update.  the need is still great for this disk space.  phillip",0
"greg, how about either next tuesday or thursday?phillip",0
any morning between 10 and 11:30,0
"andy, please assign a user name to randy gay.thank you,phillip",0
"richard, are you available at 5:30 et today?phillip",0
test successful.  way to go!!!,0
loan servicing-jessica weeber 800-393-5626 jweeber@spbank.com,0
exit mccollough off 410,0
notice phy & fin index tabs have been added... ,0
"phillip,i think i still owe someone for that awesome video we made.  how much and who?thanks,don",0
temp file until the it group completes the internet version. ,0
"life insurance banner		",0
my steno is 5318.,0
the prebid meeting is tomorrow from 3:00 to 5:00 in ecs 5075.,0
